Date,Location,Minimum Feeling Temperature(¡ÆC),maximum temperature(¡ÆC),average temperature(¡ÆC),lowest temperature(¡ÆC),Average Relative Humidity(%),average wind speed(m/s),maximum wind speed(m/s),Cold wave warning(O/X)
2023-01-02,540,-8.7,-0.2,-6.2,-11.1,49,1,3.4,O
2023-01-02,541,-14,0.2,-6.7,-11.4,54,1.2,3,O
2023-01-02,545,-7.7,0.4,-6.1,-13,55,0.7,3.4,X
2023-01-02,546,-8.3,-0.2,-5.5,-10.5,43,1,3.6,O
2023-01-02,548,-12.8,-0.1,-5.1,-9.8,49,1.4,2.7,O
2023-01-02,549,-10,0.6,-5.8,-10.9,52,1.3,2.8,O
2023-01-02,550,-8.6,0.2,-4.9,-10.4,49,1.4,3.2,X
2023-01-02,551,-10.7,-0.5,-4.1,-7.8,48,2,4.6,X
2023-01-02,555,-16.5,0.8,-7.6,-12.8,69,1.3,4.8,O
2023-01-02,556,-19,0.5,-9.2,-15.6,62,1,3.4,O
2023-01-02,565,-13.7,-0.4,-5.4,-11.4,52,1.7,4.4,X
2023-01-02,569,-11.2,0.5,-5.2,-8.5,45,1.4,3.8,X
2023-01-02,571,-8.1,-1.1,-4.6,-7.4,49,1,2.6,X
2023-01-02,572,-8,-0.4,-4.5,-7.6,37,0.8,2.7,X
2023-01-02,590,-11.2,-0.2,-5.4,-9.4,54,1.2,3.7,X
2023-01-02,598,-15.3,-1.2,-8.6,-14,63,1.2,5.1,O
2023-01-02,601,-10.6,1.2,-5.3,-9.7,56,1,2.4,O
2023-01-02,602,-12.1,0,-5.3,-10.4,54,1.6,4.8,O
2023-01-02,603,-17,0.4,-7.8,-14,65,1.1,3.4,O
2023-01-02,604,-6.6,2.4,-3,-8.2,50,1.1,3.2,X
2023-01-02,608,-11.4,2.4,-3.9,-8.2,56,1.4,3.5,X
2023-01-02,612,-6.2,1.7,-3.8,-9.4,55,1.1,3.1,X
2023-01-02,615,-9.3,4,-3.4,-8.8,63,1.1,3.1,X
2023-01-02,616,-8.2,-0.1,-3.8,-6.8,58,1.9,4.5,X
2023-01-02,618,-6.1,1.3,-5.6,-10.9,65,0.6,2.4,X
2023-01-02,619,-17.6,-0.7,-7.8,-13.8,63,2.4,4.6,O
2023-01-02,623,-8.1,1.1,-4.7,-9.8,54,1.4,3.8,O
2023-01-02,627,-5.9,0.5,-2.4,-5.1,58,1.4,4.3,X
2023-01-02,628,-9.9,0.3,-3.9,-7.7,57,1.3,3.5,X
2023-01-02,634,-10.9,-0.4,-4,-8.3,56,2.5,5.4,X
2023-01-02,636,-11.7,1.5,-5.4,-11.1,59,1.3,4.2,O
2023-01-02,652,-9.2,-1.1,-8.6,-13.9,65,0.6,2.8,O
2023-01-02,670,-9.1,5,0.3,-2.8,20,4.6,6.9,X
2023-01-02,699,-5.8,2.8,0,-3.1,62,3,7.1,X
2023-01-02,701,-6.3,1.7,-5.4,-10.2,62,0.9,3.8,X
2023-01-02,702,-7.3,2.2,-2,-5.9,54,1.9,4.8,X
2023-01-02,703,-12.4,0.1,-5.2,-10.2,61,1.5,3.9,X
2023-01-02,706,-7.8,3.6,-1,-6.1,64,2,4.5,X
2023-01-02,709,-7.9,4,0.3,-1.8,45,6.5,10.2,X
2023-01-02,710,-5.5,3.6,-1.2,-5.4,69,2.2,6.1,X
2023-01-02,712,-5,5.9,1.8,-0.7,33,3.1,4.7,X
2023-01-02,713,-3.5,6.5,1.9,-1.6,22,2.2,4.1,X
2023-01-02,730,-7.1,2.9,-1.4,-5,62,1.9,4.1,X
2023-01-02,731,-5.6,4.2,-1.1,-5,71,1.6,6.3,X
